Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
04/26/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Water,Takarabune Regatta,S16MY264,05/01/2016 12:00:00 AM,05/03/2016 12:00:00 AM,,South Lake Union,3;7,West,Seattle Yacht Club,150
04/26/2016 12:00:00 AM,Complete,Special Event,Commercial,,Julia's Broadway Pride Event,S16JU265,06/25/2016 12:00:00 AM,06/26/2016 12:00:00 AM,,Capitol Hill,3,East,Julia's on Broadway,120
04/27/2016 12:00:00 AM,Complete,Special Event,Community,,Craig Wilson Queen Anne Days Kiddies Parade,S16JY266,07/09/2016 12:00:00 AM,07/09/2016 12:00:00 AM,,Queen Anne,4,West,The Queen Anne Chamber of Commerce,160
04/27/2016 12:00:00 AM,Complete,Special Event,Commercial,,Outlines,S16JY267,07/01/2016 12:00:00 AM,07/01/2016 12:00:00 AM,,Sodo,2,South,Upper Left,1600
04/28/2016 12:00:00 AM,Complete,Special Event,Community,,Block Party @ The Station,S16JU270,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,Beacon Hill,2,South,Beacon Arts,312
04/28/2016 12:00:00 AM,Complete,Special Event,Community,,Big Day Of Play,S16AU271,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Rainier Valley,2,South,City of Seattle Parks and Recreation Department,2500
04/28/2016 12:00:00 AM,Complete,Special Event,Community,,SLU Saturday Market,S16MY272,05/14/2016 12:00:00 AM,09/24/2016 12:00:00 AM,,South Lake Union,7,West,NW Market Places,1005
04/29/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (6.2),S16JU273,06/02/2016 12:00:00 AM,06/02/2016 12:00:00 AM,,Sodo,7,South,Fuel Sports Eats and Beats,420
05/04/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boat House (6.18),S16JU280,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,200
05/04/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Seattle Children's Theater,S16MY281,05/16/2016 12:00:00 AM,05/16/2016 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,175
05/04/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Zoe Events,S16JU282,06/02/2016 12:00:00 AM,06/02/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,25
